,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4
414,0,3531,3758,0,0,863,361,357
415,0,3528,3759,0,0,866,393,350
416,0,3524,3771,0,0,862,380,372
417,0,3527,3761,0,0,864,387,375
418,0,3523,3761,0,0,864,383,367
419,0,3523,3757,0,0,868,380,359
420,0,3526,3754,0,0,875,366,365
421,0,3504,3751,0,0,875,374,381
422,0,3497,3733,0,0,876,374,380
423,0,3517,3750,0,0,868,379,369
424,0,3515,3751,0,0,870,381,376
425,0,3515,3735,0,0,868,386,383
426,0,3504,3729,0,0,867,382,390
427,0,3522,3746,0,0,867,373,391
428,0,3519,3737,0,0,872,397,391
429,0,3517,3712,0,0,868,406,404
430,0,3520,3706,0,0,869,402,372
431,0,3525,3734,0,0,871,396,380
432,0,3525,3770,0,0,873,388,389
433,0,3520,3750,0,0,872,419,350
434,0,3505,3741,0,0,869,439,359
435,0,3505,3737,0,0,868,437,355
436,0,3506,3739,0,0,867,442,362
437,0,3504,3737,0,0,866,446,368
438,0,3504,3763,0,0,863,400,354
439,0,3507,3762,0,0,864,406,368
440,0,3504,3728,0,0,863,418,375
441,0,3504,3719,0,0,863,426,375
442,0,3517,3746,0,0,866,405,358
443,0,3483,3747,0,0,860,431,380
444,0,3520,3760,0,0,874,369,373
445,0,3536,3765,0,0,877,360,374
446,0,3477,3757,0,0,858,431,378
447,0,3542,3750,0,0,883,360,367
448,3604,0,0,3942,856,95,0,441
449,3574,0,0,3921,861,89,3,441
450,3565,0,0,3915,866,93,40,429
451,3531,0,0,3911,870,94,42,429
452,3525,0,0,3891,871,88,50,423
453,3521,0,0,3895,871,91,48,427
454,3515,0,0,3888,873,91,50,420
455,3514,0,0,3888,873,89,49,423
456,3507,0,0,3886,873,92,42,419
457,3506,0,0,3877,874,92,49,420
458,3502,0,0,3873,874,87,45,419
459,3501,0,0,3871,875,88,49,422
460,3491,0,0,3869,875,92,51,416
461,3493,0,0,3861,876,93,51,416
462,3488,0,0,3859,876,93,44,411
463,3484,0,0,3859,876,94,49,409
464,3483,0,0,3861,876,96,52,411
465,3481,0,0,3858,876,91,44,409
466,3482,0,0,3867,876,87,48,407
467,3482,0,0,3867,876,92,49,404
468,3468,0,0,3854,876,93,50,408
469,3477,0,0,3863,877,94,53,400
470,3472,0,0,3872,877,92,47,398
471,3446,0,0,3866,877,92,34,405
472,3441,0,0,3856,877,91,33,409
473,3442,0,0,3852,878,90,36,406
474,3447,0,0,3846,877,93,33,406
475,3451,0,0,3846,878,93,39,406
476,3451,0,0,3845,878,92,40,399
477,3446,0,0,3842,878,92,37,404
478,3446,0,0,3840,879,93,40,404
479,3445,0,0,3839,879,93,40,400
480,3446,0,0,3838,879,93,38,404
481,3451,0,0,3828,880,92,34,406
482,3451,0,0,3834,879,95,39,411
483,3451,0,0,3813,879,95,32,413
484,3451,0,0,3805,879,94,36,414
485,3451,0,0,3807,879,96,37,415
486,3471,0,0,3850,873,97,17,421
487,3475,0,0,3873,869,95,24,429
488,3475,0,0,3870,870,97,29,424
489,3478,0,0,3869,875,96,24,415
490,3472,0,0,3868,872,96,29,416
491,3472,0,0,3876,873,98,29,421
492,3473,0,0,3883,875,98,30,421
493,3472,0,0,3883,877,96,37,420
494,3465,0,0,3870,877,97,29,423
495,3459,0,0,3862,877,98,24,417
496,3456,0,0,3860,876,97,15,421
